"","Conglomerado","cgl_sit_arb","Anio","Estado","Municipio","Formato","Cve_veg_SV","Tipo_veg_SV","Veg_prim_levantada","Veg_sec_levantada","Sitio","Registro","Arbol","NumeroTallos","FormaFuste","TipoTocon","Familia_APG","NombreCientifico_APG","Condicion","NomComun","X","Y","Altitud","Vigor","VigEtapa","DiametroCopa","PosicionCopa","porc_CopaViva","ExposicionLuz","DensidadCopa","TransparenciaCopa","MuerteRegresiva","DiametroBasal","Azimut","distancia","Edad","GrosorCorteza","Long10Anillos","NumAnillos25","Troza1","Troza2","Troza3","Troza4","Troza5","Troza6","Troza7","Troza8","AlturaFusteLimpio","AlturaComercial","Forma_Biologica_1","Danio1","Severidad1","Danio2","Severidad2","Altura_total","Diametro_normal","Area_basal","Area_copa"
"1",66722,"66722_1_10",2010,"Puebla","San Sebastian Tlacotepec","Bosque","VSaa/BM","BOSQUE MESOFILO DE MONTANA","BM","VSA",1,10,10,"NULL","NULL","NULL","Oleaceae","Fraxinus uhdei","Vivo","Palo blanco","-96.8416941111111","18.3377774444444",1222,"Bueno","Arbol viejo o supermaduro","4.9","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","14.3","29.8","Arbol","NULL","NULL","NULL","NULL",29.7,48.9,"0.1878056451206","18.857454"
"2",66722,"66722_1_14",2010,"Puebla","San Sebastian Tlacotepec","Bosque","VSaa/BM","BOSQUE MESOFILO DE MONTANA","BM","VSA",1,14,14,"NULL","NULL","NULL","Altingiaceae","Liquidambar styraciflua","Vivo","Liquidambar","-96.8416941111111","18.3377774444444",1222,"Bueno","Arbol viejo o supermaduro","12.2","NULL","NULL","NULL","NULL","NULL","NULL","99.6","161","5","0","18","NULL","NULL","Troza apta para triplay de muy alta calidad","Troza apta para triplay de muy alta calidad","Troza apta para triplay de muy alta calidad","Troza apta para triplay de muy alta calidad","Troza apta para madera aserrada de buena calidad","Troza apta para madera aserrada de buena calidad","Troza para madera aserrada de baja calidad (segunda o menos)","Troza para madera aserrada de baja calidad (segunda o menos)","10.8","29.4","Arbol","NULL","NULL","NULL","NULL",12.2,18.9,"0.0280794215358709","116.898936"
"3",66722,"66722_1_21",2010,"Puebla","San Sebastian Tlacotepec","Bosque","VSaa/BM","BOSQUE MESOFILO DE MONTANA","BM","VSA",1,21,21,"NULL","NULL","NULL","Oleaceae","Fraxinus uhdei","Vivo","Palo blanco","-96.8416941111111","18.3377774444444",1222,"Bueno","Arbol viejo o supermaduro","5.2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2.2","13.8","Arbol","NULL","NULL","NULL","NULL",19.7,33.2,"0.086569933578772","21.237216"
"4",65848,"65848_2_12",2009,"Puebla","Eloxochitlan","Bosque","VSaa/BM","BOSQUE MESOFILO DE MONTANA","BM","VSA",2,12,12,"NULL","NULL","NULL","ZZ Familia Desconocida","ZZ_Desconocido","Vivo","Mameyito","-96.9313326666667","18.4771104444444",1260,"Bueno","Arbol maduro","3.6","NULL","NULL","NULL","NULL","NULL","NULL","20.3","120","4.8","0","16","NULL","NULL","Troza con diametro menor a 30 cm y mayor a 10 cm","Troza con diametro menor a 30 cm y mayor a 10 cm","NULL","NULL","NULL","NULL","NULL","NULL","5.1","5.1","NULL","NULL","NULL","NULL","NULL",10.1,16.7,"0.0219040226013703","10.178784"
"5",65848,"65848_2_14",2009,"Puebla","Eloxochitlan","Bosque","VSaa/BM","BOSQUE MESOFILO DE MONTANA","BM","VSA",2,14,14,"NULL","NULL","NULL","ZZ Familia Desconocida","ZZ_Desconocido","Vivo","Mameyito","-96.9313326666667","18.4771104444444",1260,"Bueno","Arbol maduro","3.2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5.4","3.4","NULL","NULL","NULL","NULL","NULL",9.1,16.2,"0.020612039541449","8.042496"
"6",65848,"65848_2_17",2009,"Puebla","Eloxochitlan","Bosque","VSaa/BM","BOSQUE MESOFILO DE MONTANA","BM","VSA",2,17,17,"NULL","NULL","NULL","ZZ Familia Desconocida","ZZ_Desconocido","Vivo","Mameyito","-96.9313326666667","18.4771104444444",1260,"Bueno","Arbol maduro","2.7","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5.1","1.3","NULL","NULL","NULL","NULL","NULL",7.5,10,"0.007854","5.725566"
"7",65848,"65848_2_30",2009,"Puebla","Eloxochitlan","Bosque","VSaa/BM","BOSQUE MESOFILO DE MONTANA","BM","VSA",2,30,30,"NULL","NULL","NULL","ZZ Familia Desconocida","ZZ_Desconocido","Vivo","Mameyito","-96.9313326666667","18.4771104444444",1260,"Pobre","Arbol maduro","3.7","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3.3","1.3","NULL","NULL","NULL","NULL","NULL",5.5,10.1,"0.00817130129440155","10.752126"
"8",65848,"65848_2_4",2009,"Puebla","Eloxochitlan","Bosque","VSaa/BM","BOSQUE MESOFILO DE MONTANA","BM","VSA",2,4,4,"NULL","NULL","NULL","ZZ Familia Desconocida","ZZ_Desconocido","Vivo","Platanillo","-96.9313326666667","18.4771104444444",1260,"Bueno","Arbol joven","3.1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1.3","1.6","NULL","NULL","NULL","NULL","NULL",5.8,10.8,"0.00933133674685823","7.547694"
"9",66431,"66431_4_6",2012,"Puebla","San Sebastian Tlacotepec","Bosque","VSA/BM","BOSQUE MESOFILO DE MONTANA","BM","VSA",4,6,6,"NULL","Arbol recto con un fuste","NULL","Euphorbiaceae","Acalypha poiretii","Vivo","Hoja ancha","-96.8404441111111","18.3828882222222",524,"NULL","NULL","3.7","Suprimido","65","El arbol recibe la luz completa en la punta o solo en un cuarto","45","40","00","8.9","304","7.5","0","7","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1.5","0","Hierba","Ausencia de daño","n/a","NULL","NULL",5,7.8,"0.00477837383369293","10.752126"
"10",65843,"65843_1_14",2009,"Puebla","Vicente Guerrero","Bosque","BPQ","BOSQUE DE PINO-ENCINO","BPQ","VSn",1,14,14,"NULL","NULL","NULL","Pinaceae","Pinus pseudostrobus","Vivo","Ocote shaco","-97.1683604444444","18.4844441111111",2137,"Bueno","Arbol joven","2.4","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2.6","3.5","Arbol","NULL","NULL","NULL","NULL",7,18.2,"0.0263022584068818","4.523904"
