"","Conglomerado","cgl_sit_arb","Anio","Estado","Municipio","Formato","Cve_veg_SV","Tipo_veg_SV","Veg_prim_levantada","Veg_sec_levantada","Sitio","Registro","Arbol","NumeroTallos","FormaFuste","TipoTocon","Familia_APG","NombreCientifico_APG","Condicion","NomComun","X","Y","Altitud","Vigor","VigEtapa","DiametroCopa","PosicionCopa","porc_CopaViva","ExposicionLuz","DensidadCopa","TransparenciaCopa","MuerteRegresiva","DiametroBasal","Azimut","distancia","Edad","GrosorCorteza","Long10Anillos","NumAnillos25","Troza1","Troza2","Troza3","Troza4","Troza5","Troza6","Troza7","Troza8","AlturaFusteLimpio","AlturaComercial","Forma_Biologica_1","Danio1","Severidad1","Danio2","Severidad2","Altura_total","Diametro_normal","Area_basal","Area_copa"
"1",64714,"64714_1_7",2010,"Veracruz de Ignacio de la Llave","Zongolica","Bosque","TA","AGRICULTURA DE TEMPORAL","BQ","VSA",1,7,7,"NULL","NULL","NULL","Bignoniaceae","Astianthus viminalis","Vivo","Palo de gusano","-97.0197493333333","18.6608333333333",1546,"Bueno","Arbol joven","3.2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4.3","1.5","Arbol","NULL","NULL","NULL","NULL",7.1,12.8,"0.0130698406270157","8.042496"
"2",64714,"64714_3_26",2010,"Veracruz de Ignacio de la Llave","Zongolica","Bosque","TA","AGRICULTURA DE TEMPORAL","BQ","VSA",3,26,26,"NULL","NULL","NULL","Bignoniaceae","Astianthus viminalis","Vivo","Palo de gusano","-97.0193604444444","18.6606111111111",1546,"Bueno","Arbol joven","3.8","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5.8","2.1","Arbol","NULL","NULL","NULL","NULL",7.9,12.3,"0.0118823169685158","11.341176"
"3",65845,"65845_3_8",2011,"Veracruz de Ignacio de la Llave","Tehuipango","Bosque","VSaa/BPQ","BOSQUE DE PINO-ENCINO","BP","VSA",3,8,8,"NULL","NULL","NULL","Pinaceae","Pinus pseudostrobus","Vivo","Pino","-97.0732771111111","18.4811382222222",2498,"Bueno","Arbol maduro","7.1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6.1","7","Arbol","NULL","NULL","NULL","NULL",9.3,34.5,"0.0940249381068972","39.592014"
"4",65845,"65845_4_12",2011,"Veracruz de Ignacio de la Llave","Tehuipango","Bosque","VSaa/BPQ","BOSQUE DE PINO-ENCINO","BP","VSA",4,12,12,"NULL","NULL","NULL","Pinaceae","Pinus pseudostrobus","Vivo","Pino","-97.0740548888889","18.4811937777778",2498,"Bueno","Arbol maduro","7","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6","9.1","Arbol","NULL","NULL","NULL","NULL",12,23.8,"0.0448628319678818","38.4846"
"5",65845,"65845_4_23",2011,"Veracruz de Ignacio de la Llave","Tehuipango","Bosque","VSaa/BPQ","BOSQUE DE PINO-ENCINO","BP","VSA",4,23,23,"NULL","NULL","NULL","Pinaceae","Pinus pseudostrobus","Vivo","Pino","-97.0740548888889","18.4811937777778",2498,"Bueno","Arbol maduro","4","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6","8","Arbol","NULL","NULL","NULL","NULL",10.3,20.7,"0.0336536070807404","12.5664"
"6",65845,"65845_4_4",2011,"Veracruz de Ignacio de la Llave","Tehuipango","Bosque","VSaa/BPQ","BOSQUE DE PINO-ENCINO","BP","VSA",4,4,4,"NULL","NULL","NULL","Pinaceae","Pinus pseudostrobus","Vivo","Pino","-97.0740548888889","18.4811937777778",2498,"Bueno","Arbol joven","3.9","NULL","NULL","NULL","NULL","NULL","NULL","14.2","15","3.7","17","11","19","17","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4","1.8","Arbol","NULL","NULL","NULL","NULL",6,11,"0.00950334","11.945934"
"7",65845,"65845_4_7",2011,"Veracruz de Ignacio de la Llave","Tehuipango","Bosque","VSaa/BPQ","BOSQUE DE PINO-ENCINO","BP","VSA",4,7,7,"NULL","NULL","NULL","Pinaceae","Pinus pseudostrobus","Vivo","Pino","-97.0740548888889","18.4811937777778",2498,"Bueno","Arbol maduro","4.7","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2.3","8","Arbol","NULL","NULL","NULL","NULL",10.1,21.5,"0.036305115","17.349486"
"8",64989,"64989_3_21",2012,"Veracruz de Ignacio de la Llave","Tezonapa","Selva","VSA/SAP","SELVA ALTA PERENNIFOLIA","SAP","VSaa",3,21,21,"NULL","Arbol recto con un fuste","NULL","NULL","ZZ_Desconocido","Muerto en pie","NULL","-96.8314715555556","18.6088888888889",675,"NULL","NULL","NULL","No aplica","n/a","No aplica","n/a","n/a","n/a","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","n/a","NULL","NULL",5.5,8.8,"0.00622115286670076","0.00193437621569254"
"9",64990,"64990_1_10",2013,"Veracruz de Ignacio de la Llave","Tezonapa","Selva","VSA/SAP","SELVA ALTA PERENNIFOLIA","SAP","VSA",1,10,8,"NULL","Arbol recto con dos o mas fustes","NULL","Sapindaceae","Thouinidium decandrum","Vivo","Chaparro","-96.7841107777778","18.6075",1150,"NULL","NULL","3.9","Suprimido","20","Arboles que no reciben luz porque se encuentran sombreados por otros arboles  parras  trepadoras u otra vegetacion  arboles que no tienen copa por definicion ","95","05","00","NULL","200","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1.7","NULL","Arbol","Ausencia de daño","-9999","NULL","NULL",6.4,15,"0.0176715","11.945934"
"10",64990,"64990_1_34",2013,"Veracruz de Ignacio de la Llave","Tezonapa","Selva","VSA/SAP","SELVA ALTA PERENNIFOLIA","SAP","VSA",1,34,28,"NULL","Arbol recto con un fuste","NULL","Anacardiaceae","Spondias mombin","Vivo","Hoja ancha","-96.7841107777778","18.6075",1150,"NULL","NULL","2.7","Suprimido","10","Arboles que no reciben luz porque se encuentran sombreados por otros arboles  parras  trepadoras u otra vegetacion  arboles que no tienen copa por definicion ","75","25","00","NULL","103","17.8","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2.6","NULL","Arbol","Ausencia de daño","-9999","NULL","NULL",5.9,8.3,"0.00554178189666139","5.725566"
