Conglomerado,Anio,Fecha_cgl,Estado,Municipio,Formato,Tipo_cgl_estandar,Monitoreo,Muestreado,Cubierta_Vegetal,Tenencia,Altitud,Pendiete_promedio,Fisiografia,Exposicion,Veg_prim_levantada,Veg_sec_levanatda,Sitios_x_cgl,Sitio_1,Sitio_2,Sitio_3,Sitio_4,X,Y
73124,2009,21/07/2009,Oaxaca,Teotitlan del Valle,Bosque,Inicial,No,1,Si,Comunal,2777,50,Ladera,Suroeste,BQ,VSn,4,1,1,1,1,-96.51194444,17.10508333
69597,2009,30/06/2009,Oaxaca,San Francisco Teopan,Bosque,Inicial,No,1,Si,Comunal,2534,35,Ladera,Sureste,BQ,VSaa,2,1,1,0,0,-97.52077711,17.86227778
73942,2009,22/06/2009,Oaxaca,San Francisco Cahuacuá,Bosque,Inicial,No,1,Si,Comunal,1582,80,Ladera,Suroeste,BQ,VSA,4,1,1,1,1,-97.31583333,16.95166667
76718,2009,12/06/2009,Oaxaca,San Jeronimo Coatlan,Bosque,Inicial,No,1,Si,Comunal,1560,60,Ladera,Este,BQ,VSA,4,1,1,1,1,-96.87222156,16.26033333
76950,2009,05/06/2009,Oaxaca,San Juan Lachao,Bosque,Inicial,No,1,Si,Comunal,1077,30,Ladera,Noreste,BM,VSaa,4,1,1,1,1,-97.15525,16.179416
67318,2009,06/05/2009,Oaxaca,San Miguel Soyaltepec,Selva,Inicial,No,1,Si,Ejidal,378,45,Ladera,Noreste,SAP,VSA,4,1,1,1,1,-96.466916,18.23386078
74349,2009,30/06/2009,Oaxaca,San Antonino el Alto,Bosque,Inicial,No,1,Si,Comunal,2034,40,Ladera,Sur,BQ,VSA,4,1,1,1,1,-97.131666,16.85525
69612,2009,29/07/2009,Oaxaca,Concepcion Papalo,Bosque,Inicial,No,1,Si,Comunal,2701,60,Ladera,Noroeste,BM,VSaa,4,1,1,1,1,-96.81341667,17.83891633
68912,2009,17/06/2009,Oaxaca,San Jose Chiltepec,Selva,Inicial,No,1,Si,Ejidal,10,10,Valle,Oeste,SAP,VSA,4,1,1,1,1,-96.14722189,17.95027778
76835,2009,22/05/2009,Oaxaca,Santiago Yaitepec,Bosque,Inicial,No,1,Si,Ejidal,1639,40,Ladera,Suroeste,BPQ,VSn,4,1,1,1,1,-97.24686078,16.227416
