"","Conglomerado","Anio","Fecha_cgl","Estado","Municipio","Formato","Tipo_cgl_estandar","Monitoreo","Muestreado","Cubierta_Vegetal","Tenencia","Altitud","Pendiete_promedio","Fisiografia","Exposicion","Veg_prim_levantada","Veg_sec_levanatda","Sitios_x_cgl","Sitio_1","Sitio_2","Sitio_3","Sitio_4","X","Y"
"1",64981,2009,"26/08/2009","Puebla","Vicente Guerrero","Bosque","Inicial","No",1,"Si","Ejidal","2463","30","Ladera","Este","BPQ","VSh",4,"1","1","1","1","-97.21113889","18.621666"
"2",66428,2009,"22/08/2009","Puebla","Ajalpan","Bosque","Inicial","No",1,"Si","Ejidal","2244","10","Ladera","Oeste","BM","VSn",4,"1","1","1","1","-96.98222156","18.38777744"
"3",66716,2009,"16/08/2009","Puebla","Zoquitlan","Bosque","Inicial","No",1,"No","Comunal","1806","40","Lomerio","Noroeste",NA,"VSna",3,"1","1","1","0","-97.12583267","18.34727744"
"4",65848,2009,"20/08/2009","Puebla","Eloxochitlan","Bosque","Inicial","No",1,"Si","Propiedad Particular","1260","70","Ladera","Sureste","BM","VSaa",4,"1","1","1","1","-96.93138822","18.476666"
"5",66423,2009,"15/08/2009","Puebla","Ajalpan","Selva","Inicial","No",1,"Si","Comunal","1499","70","Ladera","Sureste","SBC","VSn",4,"1","1","1","1","-97.21886044","18.39555522"
"6",65843,2009,"23/08/2009","Puebla","Vicente Guerrero","Bosque","Inicial","No",1,"Si","Ejidal","2137","40","Lomerio","Noroeste","BPQ","VSn",4,"1","1","1","1","-97.16836044","18.48444411"
"7",64708,2009,"04/09/2009","Puebla","Nicolas Bravo","Bosque","Inicial","No",1,"Si","Ejidal","2472","30","Bajo","Noroeste","BPQ","VSA",4,"1","1","1","1","-97.30805556","18.66749933"
"8",67308,2009,"06/08/2009","Puebla","Coyomeapan","Bosque","Inicial","No",1,"Si","Comunal","2468","60","Ladera","Este","BPQ","VSaa",4,"1","1","1","1","-96.93972189","18.25055556"
"9",65261,2010,"20/08/2010","Puebla","Nicolas Bravo","Bosque","Inicial","No",1,"Si","Ejidal","2568","30","Lomerio","Noroeste","BP","VSn",4,"1","1","1","1","-97.30752778","18.57944378"
"10",67599,2010,"11/08/2010","Puebla","Coxcatlan","Bosque","Inicial","No",1,"Si","Ejidal","2166","40","Ladera","Noreste","BQ","VSn",4,"1","1","1","1","-97.03611078","18.20861111"
"11",66142,2010,"15/09/2010","Puebla","San Sebastian Tlacotepec","Selva","Inicial","No",1,"Si","Propiedad Particular","155","30","Lomerio","Este","SAP","VSaa",4,"1","1","1","1","-96.79116633","18.42652711"
"12",64704,2010,"21/08/2010","Puebla","Cañada Morelos","Otras comunidades","Inicial","No",1,"Si","Propiedad Particular","2406","20","Meseta","Noreste","MDR","VSn",4,"1","1","1","1","-97.49416633","18.67555489"
"13",66722,2010,"17/09/2010","Puebla","San Sebastian Tlacotepec","Bosque","Reemplazo","No",1,"Si","Comunal","1222","90","Barranca","Oeste","BM","VSA",2,"1","0","1","0","-96.84169411","18.33777744"
"14",65558,2011,"22/03/2011","Puebla","Eloxochitlan","Bosque","Inicial","No",1,"Si","Propiedad Particular","1347","40","Ladera","Norte","BM","VSna",4,"1","1","1","1","-96.92972156","18.52197156"
"15",66425,2011,"24/03/2011","Puebla","Ajalpan","Otras comunidades","Inicial","No",1,"Si","Ejidal","2164","70","Ladera","Noreste","ML","VSna",4,"1","1","1","1","-97.124166","18.39252744"
"16",65850,2011,"21/03/2011","Puebla","San Sebastian Tlacotepec","Selva","Inicial","No",1,"Si","Propiedad Particular","734","20","Ladera","Noreste","SMQ","VSh",4,"1","1","1","1","-96.83663856","18.47333267"
"17",67012,2011,"26/03/2011","Puebla","Coyomeapan","Bosque","Inicial","No",1,"Si","Comunal","2606","20","Ladera","Norte","BPQ","VSA",4,"1","1","1","1","-96.93805522","18.29580522"
"18",66138,2011,"25/03/2011","Puebla","Ajalpan","Bosque","Inicial","No",1,"Si","Ejidal","2297","30","Ladera","Sur","BPQ","VSna",4,"1","1","1","1","-96.98058267","18.43305489"
"19",65840,2011,"27/03/2011","Puebla","San Antonio Cañada","Selva","Inicial","No",1,"Si","Ejidal","1960","40","Ladera","Sur","SBC","VSna",4,"1","1","1","1","-97.31052778","18.48888856"
"20",65846,2012,"10/03/2012","Puebla","Ajalpan","Bosque","Inicial","No",1,"Si","Ejidal","2206","20","Ladera","Sur","BQ","VSaa",4,"1","1","1","1","-97.02613822","18.47969378"
"21",66431,2012,"03/03/2012","Puebla","San Sebastian Tlacotepec","Bosque","Inicial","No",1,"Si","Ejidal","524","60","Ladera","Sureste","BM","VSA",3,"1","1","0","1","-96.83999967","18.38308267"
"22",65841,2012,"19/02/2012","Puebla","San Antonio Cañada","Bosque","Reemplazo","No",1,"Si","Ejidal","2166","48","Ladera","Oeste","BP","VSaa",4,"1","1","1","1","-97.26086111","18.48816633"
"23",66719,2012,"07/03/2012","Puebla","Zoquitlan","Bosque","Inicial","No",1,"Si","Propiedad Particular","1846","65","Ladera","Sur","BQP","VSaa",3,"1","0","1","1","-96.98541633","18.33916633"
"24",66139,2012,"04/03/2012","Puebla","Zoquitlan","Bosque","Inicial","No",1,"Si","Ejidal","1597","45","Ladera","Sureste","BM","VSaa",4,"1","1","1","1","-96.92924933","18.43377744"
"25",65559,2012,"06/03/2012","Puebla","Eloxochitlan","Selva","Inicial","No",1,"Si","Ejidal","1051","35","Ladera","Suroeste","SAP","VSA",4,"1","1","1","1","-96.88397189","18.519416"
"26",67008,2012,"06/03/2012","Puebla","Coxcatlan","Bosque","Inicial","Si",1,"Si","Ejidal","1664","36","Ladera","Oeste","BQ","VSaa",4,"1","1","1","1","-97.12749933","18.30194444"
"27",64980,2013,"01/06/2013","Puebla","Vicente Guerrero","Bosque","Inicial","No",1,"Si","Comunal","2860","38","Ladera","Noreste","BQP","VSA",4,"1","1","1","1","-97.25863889","18.62305489"
"28",66720,2013,"29/04/2013","Puebla","Coyomeapan","Bosque","Inicial","No",1,"Si","Propiedad Particular","1301","60","Ladera","Este","BP","VSA",4,"1","1","1","1","-96.93636078","18.340833"
"29",67597,2013,"23/04/2013","Puebla","Coxcatlan","Selva","Inicial","No",1,"Si","Ejidal","994","19","Lomerio","Norte","SBC","VSaa",4,"1","1","1","1","-97.13055489","18.21166667"
"30",67013,2014,"02/10/2014","Puebla","San Sebastian Tlacotepec","No aplica","No aplica","No",0,"No","Comunal","0","0","No aplica","No aplica","NULL","NULL",0,"NULL","NULL","NULL","NULL","NULL","NULL"
"31",65849,2014,"28/09/2014","Puebla","Zoquitlan","Selva","Inicial","No",1,"Si","Propiedad Particular","301","75","Barranca","Oeste","SMQ","VSA",4,"1","1","1","1","-96.88438856","18.47569378"
"32",66721,2014,"01/10/2014","Puebla","Coyomeapan","Bosque","Inicial","No",1,"Si","Comunal","1540","65","Ladera","Noreste","T","VSna",4,"1","1","1","1","-96.88941633","18.34013856"
"33",66429,2014,"30/09/2014","Puebla","Zoquitlan","Bosque","Inicial","No",1,"Si","Comunal","2163","55","Barranca","Suroeste","BP","VSA",4,"1","1","1","1","-96.93497189","18.38680522"
"34",66432,2014,"06/10/2014","Puebla","San Sebastian Tlacotepec","Selva","Inicial","No",1,"Si","Propiedad Particular","1064","70","Barranca","Este","SMQ","VSA",4,"1","1","1","1","-96.79305522","18.38211044"
