"","Conglomerado","Anio","Fecha_cgl","Estado","Municipio","Formato","Tipo_cgl_estandar","Monitoreo","Muestreado","Cubierta_Vegetal","Tenencia","Altitud","Pendiete_promedio","Fisiografia","Exposicion","Veg_prim_levantada","Veg_sec_levanatda","Sitios_x_cgl","Sitio_1","Sitio_2","Sitio_3","Sitio_4","X","Y"
"1",63910,2009,"28/08/2009","Veracruz de Ignacio de la Llave","Tlilapan","Bosque","Inicial","No",1,"Si","Propiedad Particular","1170","20","Bajo","Este","BP","VSA",4,"1","1","1","1","-97.10972222","18.79944411"
"2",64718,2009,"25/08/2009","Veracruz de Ignacio de la Llave","Tezonapa","Selva","Inicial","No",1,"Si","Propiedad Particular","1220","30","Lomerio","Noroeste","SAP","VSaa",4,"1","1","1","1","-96.82972156","18.65416667"
"3",64169,2009,"03/09/2009","Veracruz de Ignacio de la Llave","Acultzingo","Bosque","Inicial","No",1,"Si","Propiedad Particular","1640","30","Ladera","Sur","BQ","VSaa",4,"1","1","1","1","-97.25388889","18.75930556"
"4",65265,2009,"25/08/2009","Veracruz de Ignacio de la Llave","Astacinga","Bosque","Inicial","No",1,"Si","Comunal","2391","30","Lomerio","Oeste","BQP","VSaa",4,"1","1","1","1","-97.11777711","18.57333267"
"5",64991,2009,"17/08/2009","Veracruz de Ignacio de la Llave","Tezonapa","Selva","Inicial","No",1,"Si","Ejidal","548","50","Ladera","Este","SAP","VSA",4,"1","1","1","1","-96.73669411","18.60583333"
"6",65556,2009,"24/08/2009","Veracruz de Ignacio de la Llave","Tehuipango","Bosque","Inicial","No",1,"Si","Comunal","2193","60","Ladera","Este","BPQ","VSaa",4,"1","1","1","1","-97.02444378","18.52499933"
"7",65270,2009,"19/08/2009","Veracruz de Ignacio de la Llave","Zongolica","Selva","Inicial","No",1,"Si","Propiedad Particular","320","30","Ladera","Este","SAP","VSA",4,"1","1","1","1","-96.88055489","18.56555556"
"8",64713,2009,"02/09/2009","Veracruz de Ignacio de la Llave","Atlahuilco","Bosque","Inicial","No",1,"Si","Propiedad Particular","2150","50","Lomerio","Oeste","BP","VSn",4,"1","1","1","1","-97.06722156","18.66222222"
"9",64446,2009,"27/08/2009","Veracruz de Ignacio de la Llave","Zongolica","Selva","Inicial","No",1,"Si","Ejidal","643","40","Bajo","Este","SAP","VSA",3,"1","1","0","1","-96.92305489","18.70277778"
"10",64174,2009,"29/08/2009","Veracruz de Ignacio de la Llave","Tequila","Bosque","Inicial","No",1,"Si","Propiedad Particular","1722","90","Ladera","Norte","BM","VSA",2,"1","0","0","1","-97.01636111","18.75113889"
