"","longitude","latitude","altitude"
"64174_1",-97.0163611111111,18.7511388888889,1722
"64443_1",-97.0655555555555,18.7075,1903
"64443_2",-97.0655277777778,18.7079166666667,1903
"64443_4",-97.0659444444444,18.7072777777778,1903
"64444_1",-97.0180826666667,18.7058611111111,1245
"64444_3",-97.0177215555556,18.7056111111111,1245
"64444_4",-97.0184993333333,18.7056666666667,1245
"64985_1",-97.021416,18.6155555555556,1582
"64985_2",-97.0213882222222,18.6159444444444,1582
"64985_3",-97.0210271111111,18.6153055555556,1582
"64985_4",-97.0217771111111,18.6153055555556,1582
"64987_1",-96.9263882222222,18.6121111111111,1693
"64987_2",-96.9263604444445,18.6125277777778,1693
"64987_3",-96.9263882222222,18.6121111111111,1693
"64987_4",-96.9263882222222,18.6121111111111,1693
"65268_1",-96.9755826666667,18.5686382222222,2175
"65268_2",-96.9755826666667,18.5690271111111,2175
"65268_3",-96.9752493333333,18.568416,2175
"65268_4",-96.9759715555556,18.5684715555556,2175
"65558_1",-96.9297215555556,18.5219715555556,1347
"65558_2",-96.929666,18.5223882222222,1347
"65558_3",-96.9293604444445,18.5217215555556,1347
"65558_4",-96.9301104444445,18.5218326666667,1347
"65559_1",-96.8839718888889,18.519416,1051
"65559_2",-96.8839441111111,18.5197493333333,1051
"65559_3",-96.8837496666667,18.519166,1051
"65559_4",-96.8842496666667,18.5191937777778,1051
"65848_2",-96.9313326666667,18.4771104444444,1260
"65848_3",-96.9310548888889,18.4764437777778,1260
"65848_4",-96.9318048888889,18.4764715555556,1260
"66139_1",-96.9292493333333,18.4337774444444,1597
"66139_2",-96.9292215555556,18.4341941111111,1597
"66139_3",-96.9288604444445,18.4334996666667,1597
"66139_4",-96.9296382222222,18.433583,1597
"66428_1",-96.9822215555556,18.3877774444444,2244
"66428_2",-96.9821937777778,18.3881941111111,2244
"66428_3",-96.9818604444445,18.3875274444444,2244
"66428_4",-96.9826382222222,18.3876107777778,2244
"66429_1",-96.9349718888889,18.3868052222222,2163
"66429_2",-96.9350274444444,18.3872496666667,2163
"66432_1",-96.7930552222222,18.3821104444444,1064
"66432_4",-96.793333,18.3818882222222,1064
"66722_1",-96.8416941111111,18.3377774444444,1222
"66722_3",-96.8413052222222,18.3375552222222,1222
"67308_1",-96.9397218888889,18.2505555555556,2468
"67308_2",-96.9396941111111,18.2509444444444,2468
"67308_3",-96.9393885555556,18.2503055555556,2468
"67308_4",-96.940083,18.2503888888889,2468
"67311_1",-96.79774967,18.245583,1345
"67311_2",-96.79774967,18.24597189,1345
"67311_3",-96.79741633,18.24536078,1345
"67311_4",-96.79819411,18.24541633,1345
"67604_1",-96.79972189,18.20052778,1550
"67604_2",-96.79969411,18.20097222,1550
"67604_3",-96.799333,18.20022222,1550
"67604_4",-96.80013889,18.20033333,1550
"67878_2",-96.99052744,18.16208333,2019
"67878_3",-96.99022189,18.16144444,2019
"67879_1",-96.94305522,18.16002778,2089
"67879_2",-96.94299967,18.16041667,2089
"67879_3",-96.94269411,18.15977778,2089
"67879_4",-96.94344411,18.15983333,2089
"67882_1",-96.80133333,18.155,1978
"67883_1",-96.75416667,18.15363889,1278
